jma_code,name,name_kana,pref,lat,lon,elevation,type,obs_start,matched_sources,amedastable_code,obsdl_stid,kansoku_bitmask
s47895,徳島,トクシマ,徳島,34.066667,134.573333,2,A,,amedastable+obsdl,71106,s47895,111111
a0722,江田山,,徳島,,,,,,obsdl_only,,a0722,100000
a0723,太竜寺山,,徳島,,,,,,obsdl_only,,a0723,100000
a0724,日和佐,ヒワサ,徳島,33.731667,134.538333,3,C,,amedastable+obsdl,71266,a0724,111201
a0725,宍喰,,徳島,,,,,,obsdl_only,,a0725,111100
a0972,穴吹,アナブキ,徳島,34.04,134.156667,160,C,,amedastable+obsdl,71087,a0972,111201
a1098,福原旭,フクハラアサヒ,徳島,33.878333,134.388333,290,C,,amedastable+obsdl,71211,a1098,100000
a1242,蒲生田,カモダ,徳島,33.836667,134.741667,10,C,,amedastable+obsdl,71231,a1242,111201
a1252,京上,,徳島,,,,,,obsdl_only,,a1252,111201
a1327,半田,ハンダ,徳島,33.99,134.036667,228,C,,amedastable+obsdl,71136,a1327,100000
a1352,木頭,キトウ,徳島,33.771667,134.198333,363,C,,amedastable+obsdl,71251,a1352,111201
a1358,旭丸,,徳島,,,,,,obsdl_only,,a1358,100000
s47894,剣山,,徳島,,,,,,obsdl_only,,s47894,111111
a1604,海陽,カイヨウ,徳島,33.611667,134.355,5,C,,amedastable+obsdl,71291,a1604,111201
a1677,東祖谷,ヒガシイヤ,徳島,33.87,133.978333,781,C,,amedastable+obsdl,71192,a1677,111201
a0726,内海,ウチノミ,香川,34.471667,134.273333,20,C,,amedastable+obsdl,72061,a0726,111201
s47891,高松,タカマツ：函館空港,香川,41.77,140.821667,34,C,,amedastable+obsdl,23281,s47891,111111
s47890,多度津,タドツ,香川,34.275,133.751667,4,B,,amedastable+obsdl,72111,s47890,111111
a0729,滝宮,タキノミヤ,香川,34.236667,133.923333,60,C,,amedastable+obsdl,72121,a0729,111201
a0730,引田,ヒケタ,香川,34.213333,134.406667,12,C,,amedastable+obsdl,72146,a0730,111201
a0731,竜王山,リュウオウザン,香川,34.113333,134.05,1040,C,,amedastable+obsdl,72176,a0731,100000
a1239,財田,サイタ,香川,34.12,133.771667,65,C,,amedastable+obsdl,72161,a1239,111201
a1475,香南,コウナン：高松空港,香川,34.213333,134.015,185,C,,amedastable+obsdl,72126,a1475,111000
a0732,大三島,オオミシマ,愛媛,34.25,133.006667,9,C,,amedastable+obsdl,73001,a0732,111201
a0733,玉川,タマカワ：福島空港,愛媛,37.226667,140.426667,372,C,,amedastable+obsdl,36581,a0733,100000
a0734,新居浜,ニイハマ,愛媛,33.936667,133.338333,90,C,,amedastable+obsdl,73141,a0734,111201
a0735,四国中央,シコクチュウオウ,愛媛,33.981667,133.581667,75,C,,amedastable+obsdl,73151,a0735,111201
s47887,松山,マツヤマ,愛媛,33.843333,132.776667,32,A,,amedastable+obsdl,73166,s47887,111111
a0737,上林,カミハヤシ,愛媛,33.738333,132.89,460,C,,amedastable+obsdl,73231,a0737,100000
